id_tempo,id_secretaria,id_funcao,id_favorecido,valor_pago,populacao
6,3,9,1530,132.0,32205.0
14,5,22,479,152.02,32205.0
14,5,22,479,2669.82,32205.0
14,5,22,1522,2912.42,32205.0
14,5,22,1522,3904.64,32205.0
16,5,22,1522,52223.2,32205.0
16,5,22,1522,2373.18,32205.0
11,5,22,2915,207.36,32205.0
11,5,22,2959,154.16,32205.0
11,5,22,2957,446.46,32205.0
11,5,22,2916,26.6,32205.0
11,5,22,2961,53.2,32205.0
11,5,22,2960,79.8,32205.0
11,5,22,1299,73.98,32205.0
11,5,22,739,24.66,32205.0
11,5,22,2915,73.98,32205.0
11,5,22,2954,24.66,32205.0
11,5,22,2950,24.66,32205.0
9,3,9,2943,452.2,32205.0
9,3,9,2942,37.18,32205.0
9,3,9,2943,183.84,32205.0
9,3,9,2943,79.8,32205.0
9,3,9,2928,157.6,32205.0
9,3,9,2926,315.2,32205.0
1,5,22,1530,8768.49,32205.0
1,5,22,1530,10570.72,32205.0
1,5,22,1530,4782.44,32205.0
1,5,22,1530,3844.99,32205.0
1,5,22,1530,1775.72,32205.0
1,5,22,1530,13732.8,32205.0
1,5,22,1530,5271.6,32205.0
1,5,22,1530,132.0,32205.0
1,5,22,1530,913.0,32205.0
1,5,22,1530,2626.39,32205.0
14,5,22,1530,10940.29,32205.0
14,5,22,1530,9008.56,32205.0
14,5,22,1530,4202.81,32205.0
14,5,22,1530,2801.08,32205.0
14,5,22,1530,1187.85,32205.0
14,5,22,1530,418.06,32205.0
14,5,22,1530,171.02,32205.0
14,5,22,1530,132.0,32205.0
14,5,22,1530,4048.68,32205.0
14,5,22,1530,913.0,32205.0
1,5,22,2593,51.0,32205.0
3,4,7,2593,80.64,32205.0
1,5,22,2593,667.66,32205.0
3,4,7,2593,45.0,32205.0
3,4,7,2593,373.59,32205.0
1,5,22,2593,414.16,32205.0
3,5,22,1530,3978.33,32205.0
3,5,22,2593,3624.49,32205.0
3,5,22,1530,1854.41,32205.0
3,5,22,2593,1685.82,32205.0
3,4,7,2593,18.82,32205.0
3,4,7,2593,15.92,32205.0
3,4,7,2593,15.92,32205.0
3,4,7,2593,15.92,32205.0
9,3,9,2592,875.81,32205.0
9,3,9,2592,262.75,32205.0
9,3,9,380,931.52,32205.0
9,3,9,380,2483.48,32205.0
9,3,9,380,208.9,32205.0
4,4,7,2593,28.57,32205.0
4,4,7,2592,5.11,32205.0
4,4,7,2593,161.28,32205.0
11,3,9,2592,6347.8,32205.0
11,3,9,2592,1904.34,32205.0
16,3,9,2592,180.0,32205.0
16,3,9,2592,307.45,32205.0
6,5,22,2593,1046.06,32205.0
6,5,22,2593,286.36,32205.0
6,5,22,1530,1115.86,32205.0
6,5,22,2593,405.77,32205.0
9,5,22,1530,524.77,32205.0
9,5,22,2593,477.06,32205.0
9,5,22,1530,2145.41,32205.0
9,5,22,2593,1950.38,32205.0
16,3,9,3016,46.83,32205.0
11,5,22,2915,9233.45,32205.0
11,5,22,2915,243.49,32205.0
16,3,9,2593,3877.03,32205.0
16,3,9,3016,2253.43,32205.0
16,3,9,384,38270.79,32205.0
16,3,9,2992,4670.93,32205.0
16,3,9,479,10799.67,32205.0
16,3,9,380,2483.48,32205.0
16,3,9,53,18438.67,32205.0
16,3,9,301,4630.73,32205.0
16,3,9,301,1397.6,32205.0
16,3,9,301,799.07,32205.0
16,3,9,697,38.64,32205.0
16,3,9,378,6365.71,32205.0
16,3,9,1522,57531.56,32205.0
12,5,22,301,3253.22,32205.0
12,5,22,301,1443.01,32205.0
12,5,22,697,162.72,32205.0
12,5,22,2335,37.18,32205.0
12,5,22,3016,2068.83,32205.0
12,5,22,1468,135.45,32205.0
12,5,22,378,858.14,32205.0
12,5,22,384,30237.17,32205.0
12,5,22,479,12864.81,32205.0
12,5,22,53,26482.25,32205.0
12,5,22,301,14712.07,32205.0
12,5,22,2992,2019.02,32205.0
12,5,22,380,4273.78,32205.0
16,3,9,1522,10162.92,32205.0
16,3,9,2593,274.37,32205.0
16,3,9,378,59.67,32205.0
16,3,9,301,286.58,32205.0
16,3,9,301,726.51,32205.0
16,3,9,301,2230.0,32205.0
16,3,9,53,6661.5,32205.0
16,3,9,384,9769.67,32205.0
16,3,9,479,3356.11,32205.0
16,3,9,2992,210.1,32205.0
16,3,9,3016,483.41,32205.0
16,3,9,2593,1295.68,32205.0
16,3,9,1522,10161.14,32205.0
16,3,9,378,988.75,32205.0
16,3,9,2335,43.05,32205.0
16,3,9,697,27.28,32205.0
16,3,9,301,147.15,32205.0
16,3,9,301,350.75,32205.0
16,3,9,301,750.0,32205.0
12,5,22,1530,1930.3,32205.0
12,5,22,2593,1754.82,32205.0
12,5,22,1530,10569.55,32205.0
12,5,22,2593,5284.77,32205.0
4,4,7,2593,134.4,32205.0
4,4,7,2593,67.2,32205.0
6,4,7,2593,172.96,32205.0
7,4,7,2593,42.12,32205.0
16,3,9,53,2829.01,32205.0
16,3,9,380,931.52,32205.0
16,3,9,479,1375.5,32205.0
16,3,9,2992,223.25,32205.0
16,3,9,384,5202.32,32205.0
16,3,9,3016,346.18,32205.0
16,3,9,2593,102.25,32205.0
16,3,9,301,34.27,32205.0
16,3,9,301,57.24,32205.0
16,3,9,301,576.11,32205.0
16,3,9,1522,1783.38,32205.0
16,3,9,479,269.23,32205.0
16,3,9,53,499.87,32205.0
16,3,9,380,208.9,32205.0
16,3,9,2992,507.5,32205.0
16,3,9,384,416.03,32205.0
16,5,22,2593,1085.0,32205.0
